Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9526824690902744
1,0.9169451333296512
2,0.8843849053575468
3,0.8525513364061185
4,0.8379455262628784
5,0.7868914940889818
6,0.6800497213374614
7,0.6712473681887697
8,0.6582298313833072
9,0.647369688428045
10,0.6485568246704123
11,0.6116321025777716
12,0.5951802886929884
13,0.5594864545773771
14,0.5584243756802239
15,0.5416259348234843
16,0.5410934805899696
17,0.5265632704380205
18,0.5257225333743522
19,0.5102693608175035
20,0.474582589960623
21,0.47150039577589836
22,0.4698824584014404
23,0.4622569708462646
24,0.4430869037440825
25,0.4357033401523446
26,0.4227640178908182
27,0.3966510737353609
28,0.3764662045823382
29,0.37721533467720936
30,0.3766743970260361
31,0.36807033970449554
32,0.36848198997263387
33,0.3682771322490053
34,0.3670736384532326
35,0.35713631165419973
36,0.35308214587215353
37,0.3553844601869501
38,0.34099340703860637
39,0.3424401854254776
40,0.3426160802791264
41,0.3404098827275952
42,0.33573359752584675
43,0.33577553178312014
44,0.33517686095293703
45,0.33008505193336063
46,0.32864048107700106
47,0.3282788664248019
48,0.32834262533731373
49,0.32767709954089963
50,0.3276665095590173
51,0.32355811023023184
52,0.3237068779479939
53,0.31530790902115374
54,0.2840750939889844
55,0.28346137153739276
56,0.28324072946756834
57,0.26408402798411246
58,0.23721143695420505
59,0.2368483969845674
60,0.23708497164302028
61,0.23715699178155952
62,0.23498383202647793
63,0.23566408311105969
64,0.23038303181261885
65,0.22780870484701365
66,0.22793199720701124
67,0.22692511751656594
68,0.2253927674255079
69,0.22018431763174656
70,0.21615658623786765
71,0.21627030516255202
72,0.216699929925106
73,0.21735015144151126
74,0.21750120184573846
75,0.20324296926849392
76,0.20291757732275578
77,0.20256838005799865
78,0.20259148796257653
79,0.20090806720188098
80,0.1987226695243468
81,0.1981700856168374
82,0.19753899491526655
83,0.19806957853511079
84,0.197284428830009
85,0.19833209913244718
86,0.1982160273093138
87,0.19731973542275713
88,0.1979893351067165
89,0.1980305148785409
90,0.19793301891955048
91,0.19749960803072025
92,0.19756735516034396
93,0.19507771993560194
94,0.19601506091017556
95,0.194717842867155
96,0.1926134680379938
97,0.19085001612769414
98,0.19053197254005688
99,0.18974175734020066
100,0.188772690787461
101,0.184447620382081
102,0.18589587059688656
103,0.1858364548794202
104,0.18522561870502627
105,0.1850343863824031
106,0.18369101376781816
107,0.18320498200681645
108,0.1835638663313314
109,0.1834502901176062
110,0.18434193010458422
111,0.18327103453719146
112,0.18254752562659513
113,0.1849100614393587
114,0.18318335719886708
115,0.18302011529344925
116,0.18379395699271367
117,0.18148839678231596
118,0.18120105274216022
119,0.1799355517125693
120,0.17990269775006995
121,0.18038577611785223
122,0.18025738125844626
123,0.18025698406153637
124,0.18130936650581517
125,0.1732223824197748
126,0.1733207674677319
127,0.1733319418805512
128,0.17135870952978505
129,0.16989543262318896
130,0.1697520092233013
131,0.16988047539914017
132,0.1692796692957859
133,0.16852503899971474
134,0.16728220379450703
135,0.16690142317402362
136,0.1661195616914002
137,0.16628558646361785
138,0.1662757070198561
139,0.16582486972094532
140,0.16667696644278868
141,0.16665925964127346
142,0.16621198325450873
143,0.16455564760783153
144,0.1649396778928367
145,0.16532548069059408
146,0.16496093817904223
147,0.16498804192994612
148,0.16525819862339702
149,0.1655650707705754
150,0.16558055266614202
151,0.16498199413220035
152,0.16524257234392564
153,0.1651504751951848
154,0.1652399995284937
155,0.16522854846504265
156,0.16510730057233625
157,0.16528350414910914
158,0.16474979984608543
159,0.1649441029835778
160,0.1610579003286133
161,0.1617233964388905
162,0.16230608725672932
163,0.16229460635919535
164,0.16311958934123982
165,0.16323532026019438
166,0.1633195666892795
167,0.16342480152729816
168,0.1633224131917642
169,0.16218853799309965
170,0.15854135032875596
171,0.15836694056649775
172,0.15847506713918894
173,0.1594656357421109
174,0.15885694439940135
175,0.15885942232778585
176,0.15959487747897996
177,0.15974721836965694
178,0.15889876433923772
179,0.1588736853732281
180,0.15883921590331918
181,0.15890835737275413
182,0.15635360059597475
183,0.15633585918452292
184,0.15720985861693296
185,0.15764072239511837
186,0.15763794848909862
187,0.1576227028409362
188,0.15874105791462148
189,0.15853806420787184
190,0.1585262401731059
191,0.1584820112809934
192,0.1584380371159627
193,0.1593897919722086
194,0.15890784037259045
195,0.15890769565114288
196,0.15975230827283124
197,0.15984898643915074
198,0.15986128134532226
199,0.15899376633917883
